Хозяева,Гости,1PHosts,2PHosts,3PHosts,OTHosts,SSHosts,1PGuests,2PGuests,3PGuests,OTGuests,SSGuests
Сан-Хосе,Миннесота,1,2,1,0,0,0,1,2,0,0
Вашингтон,Питтсбург,0,1,1,0,0,1,0,0,0,0
Колорадо,Нэшвилл,0,1,0,0,0,2,1,1,0,0
Анахайм,Калгари,2,0,1,0,0,1,0,1,0,0
Филадельфия,Аризона,2,0,2,1,0,1,3,0,0,0
Флорида,Эдмонтон,0,2,2,0,0,0,0,1,0,0
Бостон,Ванкувер,1,3,1,0,0,1,5,2,0,0
Тампа-Бэй,Айлендерс,0,2,2,0,0,1,0,1,0,0
Оттава,Вегас,0,1,2,0,0,2,1,2,0,0
Монреаль,Баффало,3,2,0,0,0,3,1,1,1,0
Чикаго,Каролина,0,2,1,0,0,3,1,0,0,0
Даллас,Сан-Хосе,1,2,1,0,0,1,1,1,0,0
Лос-Анджелес,Миннесота,1,0,0,0,0,1,1,1,0,0
Вашингтон,Коламбус,0,1,0,0,0,1,0,1,0,0
Торонто,Нью-Джерси,1,4,1,0,0,0,1,0,0,0
Детройт,Рейнджерс,0,0,2,1,0,0,2,0,0,0
Виннипег,Колорадо,2,0,3,0,0,0,0,2,0,0
Сент-Луис,Сан-Хосе,1,2,1,0,0,0,0,0,0,0
Анахайм,Миннесота,0,1,0,0,0,1,2,2,0,0
Филадельфия,Чикаго,1,1,2,0,0,0,0,0,0,0
Баффало,Ванкувер,1,0,2,0,1,0,2,1,0,0
Даллас,Нэшвилл,1,2,1,0,0,0,1,3,1,0
Коламбус,Рейнджерс,1,3,0,0,0,1,3,0,0,1
Монреаль,Вегас,0,3,2,0,0,2,1,1,0,0
Питтсбург,Аризона,0,3,1,0,0,0,0,0,0,0
Бостон,Торонто,1,2,2,0,0,0,1,0,0,0
Флорида,Айлендерс,1,1,2,0,0,1,1,0,0,0
Каролина,Детройт,1,2,0,0,0,1,0,2,0,1
Тампа-Бэй,Оттава,1,3,0,0,0,2,0,4,0,0
Лос-Анджелес,Калгари,0,0,0,0,0,1,0,0,0,0
Сент-Луис,Миннесота,1,1,0,0,0,0,2,1,0,0
Вашингтон,Аризона,0,1,0,0,0,1,2,1,0,0
Флорида,Оттава,0,5,0,0,0,1,0,0,0,0
Виннипег,Нью-Джерси,2,3,0,0,0,1,1,0,0,0
Бостон,Вегас,2,1,1,0,0,0,1,0,0,0
Сан-Хосе,Калгари,1,1,1,0,0,0,1,0,0,0
Эдмонтон,Колорадо,0,0,1,0,0,2,2,0,0,0
Каролина,Чикаго,0,2,0,1,0,1,1,0,0,0
Рейнджерс,Ванкувер,0,1,1,0,0,0,1,0,0,0
Даллас,Коламбус,0,1,0,0,0,0,1,1,0,0
Анахайм,Нэшвилл,0,1,0,0,1,0,0,1,0,0
Айлендерс,Ванкувер,3,0,2,0,0,1,1,0,0,0
Филадельфия,Флорида,0,0,1,0,0,0,2,0,0,0
Нью-Джерси,Питтсбург,1,1,2,0,0,1,0,1,0,0
Детройт,Аризона,3,1,2,0,0,0,0,1,0,0
Баффало,Тампа-Бэй,1,1,0,0,0,0,1,0,0,0
Миннесота,Вашингтон,0,1,1,0,0,2,1,2,0,0
